Match,Blue 1,Blue 2,Blue 3,Red 1,Red 2,Red 3
1,2169,6147,7619,2062,4786,2987
2,7530,3100,6758,8803,5913,4229
3,6045,2039,6419,6047,2175,1716
4,3212,4230,4623,4703,8700,1714
5,2855,5232,2472,5275,2512,2129
6,3023,4182,6132,8122,6044,1806
7,3206,1792,2264,4166,3297,2491
8,7273,3418,2574,6574,3883,5339
9,5720,3130,2846,2227,3082,5271
10,2512,4623,4786,2501,2175,6758
11,2987,5275,2855,5913,4230,7530
12,1714,3100,8803,1716,2169,6132
13,4166,6044,3212,6419,6574,3297
14,3418,6147,2227,1792,4703,8122
15,7273,7619,4182,3082,2846,8700
16,2039,2129,3023,3206,2501,5339
17,6047,5271,4229,2264,2472,3883
18,2574,5232,1806,5720,2062,2491
19,2512,5913,6045,6044,6132,3130
20,4786,6419,7530,2227,4230,1792
21,3418,6758,3206,8700,7619,3212
22,4703,2472,2129,2264,3023,1716
23,3082,2491,2175,5275,2169,6574
24,1714,4166,5720,2062,4182,2039
25,3100,6047,2855,2846,5339,2574
26,8122,2501,2987,3130,7273,3883
27,8803,4623,5232,5271,6045,6147
28,2129,1806,4786,4229,3297,3082
29,4182,2264,2227,7619,6574,2512
30,5339,7530,6047,6132,8700,4166
31,2491,3023,4230,3418,3100,2039
32,2855,3883,6044,2175,4703,3206
33,6147,8803,3297,5720,7273,5275
34,5232,4229,1716,2987,1792,4623
35,2472,5271,1714,2574,2501,6419
36,2169,3212,6045,2846,8122,5913
37,6758,3130,8700,1806,2855,2062
38,6132,4786,7273,2264,2039,4703
39,6044,5339,3082,8803,1716,2491
40,3883,6419,2227,3100,5232,3023
41,2512,2846,2169,4230,2129,4166
42,1792,7530,2501,2062,3212,8122
43,5275,3130,1806,4623,2574,3206
44,6758,6047,6574,1714,2987,6147
45,3297,3418,4182,4229,6045,2472
46,7619,5913,2129,2175,5720,5271
47,6132,2062,1792,3883,3082,4230
48,5339,8122,2264,5232,5275,6044
49,1806,3206,7273,6047,1714,2169
50,6574,4229,4703,2501,2846,8803
51,5913,4786,3418,4182,6419,4623
52,1716,2855,3212,2491,2227,7619
53,6045,8700,2987,3023,2512,5720
54,5271,6758,2039,7530,3297,2574
55,2175,6147,3100,3130,2472,4166
56,4230,6044,2062,4623,7273,6047
57,6574,6132,2846,4786,3206,5232
58,5339,1714,6419,4229,5720,2264
59,5913,5275,2501,8700,1716,3418
60,3883,7530,6147,2129,2491,6045
61,4182,6758,1792,2169,3023,2175
62,3212,2987,2472,2039,1806,8803
63,3297,4703,7619,3100,2512,3130
64,3082,4166,8122,2574,2855,5271
65,2227,3206,4229,6045,2062,7273
66,5232,5720,2501,6758,2169,6044
67,2846,2264,2175,1806,3418,7530
68,7619,2039,6132,6419,1792,5275
69,4230,2987,4703,5271,5339,4182
70,3297,1714,3023,2855,3082,5913
71,8700,4623,6574,2129,8122,3100
72,4166,8803,6047,4786,2227,3130
73,1716,2574,3883,6147,3212,2512
74,7273,2491,2846,2472,6132,6758
75,4703,6045,5339,1792,1806,5913
76,2501,2264,2855,2987,4182,3100
77,3130,8803,2062,6419,2129,3418
78,8700,2227,2169,2039,3883,3297
79,4623,7619,3082,7530,4166,5232
80,8122,2175,2512,2491,4229,1714
81,3206,6574,5720,2472,1716,4230
82,3023,5271,5275,3212,6047,4786
83,6044,6419,8700,6147,2574,1792
